id,UNC210000095,UNC210000599,UNC210001275,UNC210001366,UNC210001613
JAXW202-3112,3.058,0.112,0.039,3.302,1.432
JAXW202-3120,2.896,0.119,0.061,3.081,1.376
JAXW202-3005,2.937,0.301,0.19,3.275,1.756
JAXW202-3013,3.227,0.225,0.174,3.434,1.64
JAXW202-3021,3.256,0.296,0.186,3.253,1.375
JAXW202-3030,2.87,0.293,0.231,3.201,1.685
JAXW202-3038,2.983,0.326,0.222,3.175,1.52
JAXW202-3089,2.866,0.09,0.066,3.337,1.406
JAXW202-3097,2.752,0.094,0.076,3.226,1.331
JAXW202-3105,3.021,0.081,0.059,3.244,1.349
JAXW202-3113,3.037,0.108,0.053,3.431,1.38
JAXW202-3121,3.102,0.093,0.059,3.127,1.411
JAXW202-3129,3.544,0.105,0.065,3.553,1.428
JAXW202-3006,2.776,0.28,0.174,3.451,1.772
JAXW202-3014,2.963,0.243,0.226,3.526,1.661
JAXW202-3031,3.005,0.279,0.214,3.237,1.666
JAXW202-3039,2.985,0.295,0.178,3.45,1.631
JAXW202-3090,2.992,0.102,0.068,3.306,1.511
JAXW202-3098,3.045,0.104,0.063,2.991,1.49
JAXW202-3106,3.322,0.1,0.043,3.025,1.307
JAXW202-3114,3.066,0.094,0.059,3.455,1.418
JAXW202-3122,3.164,0.123,0.054,3.384,1.452
JAXW202-3130,3.093,0.104,0.067,3.106,1.482
JAXW202-3168,3.158,0.089,0.052,3.259,1.437
JAXW202-3137,2.806,0.07,0.036,3.127,1.337
JAXW202-3143,2.963,0.079,0.05,3.219,1.418
JAXW202-3156,2.822,0.071,0.025,3.254,1.368
JAXW202-3138,2.97,0.066,0.031,3.276,1.417
JAXW202-3144,3.386,0.066,0.034,3.62,1.386
JAXW202-3151,3.033,0.075,0.03,3.41,1.454
JAXW202-3157,2.889,0.054,0.015,3.33,1.348
JAXW202-3133,2.732,0.058,0.029,3.626,1.396
JAXW202-3139,2.791,0.078,0.071,3.855,1.354
JAXW202-3145,2.691,0.087,0.066,3.554,1.404
JAXW202-3152,3.299,0.088,0.052,4.251,1.317
JAXW202-3158,2.498,0.046,0.021,3.328,1.36
JAXW202-3134,2.728,0.079,0.032,3.875,1.298
JAXW202-3153,3.244,0.062,0.055,4.142,1.242
